sept20_publishFINAL
Operator,Technology1,Upload or Download,Speed,Signal Strength,Location
AIRTEL,4G,upload,1262,-102,Madhya Pradesh
JIO,4G,download,2438,-59,Madhya Pradesh
JIO,4G,download,4056,-77,Madhya Pradesh
JIO,4G,download,17292,-65,Madhya Pradesh
JIO,4G,download,10773,-73,Madhya Pradesh
JIO,4G,download,14524,-71,Madhya Pradesh
JIO,4G,download,1418,-59,Madhya Pradesh
JIO,4G,download,5662,-65,Madhya Pradesh
JIO,4G,download,16938,-63,Madhya Pradesh
JIO,4G,download,7210,-61,Madhya Pradesh
JIO,4G,download,2668,-61,Madhya Pradesh
JIO,4G,download,2496,-57,Madhya Pradesh
JIO,4G,download,7978,-51,Madhya Pradesh
JIO,4G,upload,5454,-59,Madhya Pradesh
JIO,4G,upload,229,-57,Madhya Pradesh
JIO,4G,upload,4009,-65,Madhya Pradesh
JIO,4G,upload,3031,-73,Madhya Pradesh
JIO,4G,upload,15501,-71,Madhya Pradesh
JIO,4G,upload,463,-59,Madhya Pradesh
JIO,4G,upload,158,-65,Madhya Pradesh
JIO,4G,upload,1831,-63,Madhya Pradesh
JIO,4G,upload,1470,-61,Madhya Pradesh
JIO,4G,upload,700,-63,Madhya Pradesh
JIO,4G,upload,1600,-57,Madhya Pradesh
JIO,4G,upload,1233,-51,Madhya Pradesh
AIRTEL,4G,download,17925,-105,Delhi
AIRTEL,4G,download,3839,-96,Delhi
AIRTEL,4G,upload,2557,-106,Delhi
AIRTEL,4G,upload,5714,-96,Delhi
JIO,4G,download,7489,-51,Gujarat
JIO,4G,download,1969,-73,Gujarat
JIO,4G,download,1707,-59,Gujarat
JIO,4G,download,13346,-59,Gujarat
JIO,4G,upload,4678,-51,Gujarat
JIO,4G,upload,823,-73,Gujarat
JIO,4G,upload,3444,-65,Gujarat
JIO,4G,upload,5886,-63,Gujarat
JIO,4G,download,80307,-69,Kolkata
JIO,4G,download,80224,-69,Kolkata
JIO,4G,download,80175,-69,Kolkata
JIO,4G,upload,8698,-69,Kolkata
JIO,4G,upload,8617,-69,Kolkata
JIO,4G,upload,8670,-69,Kolkata
JIO,4G,download,574,-112,North East
JIO,4G,download,363,-104,North East
JIO,4G,upload,330,-104,North East
JIO,4G,upload,439,-104,North East
JIO,4G,download,66763,-71,Kolkata
VODAFONE,4G,download,1231,-65,Tamil Nadu
VODAFONE,4G,download,2665,-71,Tamil Nadu
VODAFONE,4G,download,773,-73,Tamil Nadu
VODAFONE,4G,download,253,-75,Tamil Nadu
JIO,4G,download,567,-73,Tamil Nadu
VODAFONE,4G,download,223,-75,Tamil Nadu
VODAFONE,4G,download,184,-81,Tamil Nadu
JIO,4G,download,19570,-81,Chennai
VODAFONE,4G,download,2489,-71,Tamil Nadu
VODAFONE,4G,upload,16674,-67,Tamil Nadu
VODAFONE,4G,upload,13875,-67,Tamil Nadu
VODAFONE,4G,upload,112,-75,Tamil Nadu
VODAFONE,3G,upload,1323,na,Tamil Nadu
JIO,4G,upload,292,-73,Tamil Nadu
VODAFONE,4G,upload,1672,-73,Tamil Nadu
VODAFONE,4G,upload,1489,-81,Tamil Nadu
JIO,4G,upload,7423,-71,Chennai
VODAFONE,4G,upload,4512,-71,Tamil Nadu
AIRTEL,4G,upload,2563,-94,Andhra Pradesh
AIRTEL,4G,upload,1774,-92,Andhra Pradesh
AIRTEL,4G,upload,1448,-107,Andhra Pradesh
AIRTEL,4G,upload,3315,-103,Andhra Pradesh
AIRTEL,4G,upload,15283,-91,Andhra Pradesh
AIRTEL,4G,upload,23060,-75,Andhra Pradesh
JIO,4G,upload,116,na,Karnataka
JIO,4G,upload,1575,-109,Karnataka
JIO,4G,upload,3471,-99,Karnataka
JIO,4G,upload,757,-110,Karnataka
JIO,4G,upload,766,-102,Karnataka
JIO,4G,upload,834,na,Karnataka
JIO,4G,upload,2,na,Karnataka
JIO,4G,upload,1447,-111,Karnataka
JIO,4G,upload,433,-102,Karnataka
JIO,4G,upload,75,na,Karnataka
JIO,4G,upload,72,na,Karnataka
IDEA,4G,download,6852,-109,Maharashtra
IDEA,4G,upload,6456,-109,Maharashtra
AIRTEL,4G,download,1594,-107,UP East
AIRTEL,4G,download,1619,-111,UP East
AIRTEL,4G,download,2879,-105,UP East
AIRTEL,4G,download,1412,-111,UP East
AIRTEL,4G,download,3257,-102,UP East
AIRTEL,4G,upload,2067,-103,UP East
AIRTEL,4G,upload,1440,-106,UP East
AIRTEL,4G,upload,727,-108,UP East
AIRTEL,4G,upload,279,-112,UP East
AIRTEL,4G,upload,293,-104,UP East
JIO,4G,upload,8206,-59,Madhya Pradesh
JIO,4G,download,1487,-75,Maharashtra
JIO,4G,download,2987,-69,Maharashtra
JIO,4G,download,20909,-63,Maharashtra
JIO,4G,upload,573,-71,Maharashtra
JIO,4G,upload,774,-69,Maharashtra
JIO,4G,upload,1693,-63,Maharashtra
JIO,4G,download,79423,-72,Kolkata
JIO,4G,upload,8179,-72,Kolkata
IDEA,4G,download,25880,-71,Madhya Pradesh
IDEA,3G,download,8677,na,Madhya Pradesh
IDEA,4G,download,1.0,-53,Madhya Pradesh
IDEA,4G,upload,1082,-69,Madhya Pradesh
IDEA,3G,upload,1198,na,Madhya Pradesh
IDEA,4G,upload,7880,-51,Madhya Pradesh
JIO,4G,download,12398,-93,UP East
JIO,4G,download,22072,-95,UP East
JIO,4G,upload,3351,-93,UP East
JIO,4G,upload,18510,-95,UP East
AIRTEL,4G,download,4818,-83,Gujarat
AIRTEL,4G,upload,239,-81,Gujarat
JIO,4G,download,762,-101,Tamil Nadu
